timestamp;evento;clase;car_in;car_out;moto_in;moto_out;car_inv;moto_inv;modelo;conf;orientacion;pos_linea;invertido;fuente
2025-09-17T15:36:57;IN;motorcycle;0;0;1;0;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:36:57;OUT;motorcycle;0;0;1;1;0;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:36:57;IN;motorcycle;0;0;2;1;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:36:58;OUT;car;0;1;2;1;-1;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:36:59;IN;car;1;1;2;1;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:01;OUT;car;1;2;2;1;-1;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:05;OUT;car;1;3;2;1;-2;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:05;IN;car;2;3;2;1;-1;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:06;IN;car;3;3;2;1;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:07;OUT;car;3;4;2;1;-1;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:10;IN;car;4;4;2;1;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:10;IN;car;5;4;2;1;1;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:11;OUT;car;5;5;2;1;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:13;OUT;motorcycle;5;5;2;2;0;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:14;IN;motorcycle;5;5;3;2;0;1;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:16;OUT;motorcycle;5;5;3;3;0;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:18;IN;car;6;5;3;3;1;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:18;IN;car;7;5;3;3;2;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:19;IN;car;8;5;3;3;3;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
2025-09-17T15:37:20;SUMMARY;-;8;5;3;3;3;0;yolo11n.pt;0.30;horizontal;0.50;False;C:/Users/CAMILO/Desktop/Semestre_2_espe/Desarrollo_de_proyectos/Contador de vehiculos/videos/prueba1.mp4
